Player,Age,Pos,Squad,Nation,std_MP,std_Min,Gls,Ast,pass_Cmp%,pass_PrgDist,pass_KP,pass_1/3,pass_PPA,pass_PrgP,passt_TB,passt_Sw,passt_Crs,gca_PassLive,gca_PassDead,poss_Carries,poss_PrgDist,poss_PrgC,poss_1/3,poss_CPA,gca_TO,gca_Sh,gca_Fld,def_Tkl,def_TklW,def_Int,def_Tkl+Int,def_Blocks,def_Pass,def_Def 3rd,def_Mid 3rd,def_Att 3rd,misc_TklW,misc_Recov,misc_Won,misc_Lost,misc_Fls,misc_Fld,poss_Mis,poss_Dis,def_Lost,std_Gls,std_Ast,std_xG,std_xAG,std_PrgR,shoot_Sh,std_CrdY,std_CrdR,std_90s,pt_Min%,pt_Mn/MP,Cluster,Archetype,Primary_Archetype,Secondary_Archetype,Archetype_Score,Secondary_Archetype_Score,Anchor_Score,DLP_Score,BallWinner_Score,BoxToBox_Score,APM_Score,Mezzala_Score,ShadowStriker_Score,Overall_Rating
Alonzo Engwanda,21.0,MF,Utrecht,be BEL,21.0,1270.0,0,0,77,15,2,16,8,19,0,0,7,12,5,16,13,4,10,0,0,7,0,33,39,59,43,24,31,37,36,19,39,14,13,68,95,11,88,90,79,0,0,0,5,4,5,88,100,28,28,42,1,BallWinner,BallWinner,,46,0,37,21,46,15,6,7,2,32
Amine Lachkar,21.0,MF,Willem II,nl NED,23.0,1741.0,0,0,92,41,11,59,6,42,0,35,1,24,5,47,52,15,20,4,0,13,11,45,42,41,46,80,46,43,54,19,42,39,31,73,70,24,78,71,68,0,0,5,3,3,13,38,100,48,48,74,2,Anchor/DLP,Anchor,DLP,54,51,54,51,49,31,10,21,6,55
Anouar El Azzouzi,23.0,MF,Zwolle,nl NED,33.0,2876.0,1,0,87,100,36,94,38,88,0,82,18,68,5,100,86,25,31,4,8,7,0,80,73,91,89,56,41,70,86,50,73,100,71,8,21,69,25,35,21,4,0,21,16,26,41,13,100,98,97,96,2,DLP,DLP,,92,0,79,92,77,65,35,39,18,86
Antoni Milambo,19.0,MF,Feyenoord,nl NED,29.0,1978.0,3,5,74,19,46,35,40,43,6,24,2,51,9,32,43,33,52,6,33,7,33,27,31,14,24,49,54,18,38,44,31,31,8,75,77,50,52,46,74,13,45,13,27,35,38,75,100,59,58,58,1,APM,APM,,40,0,29,32,34,34,40,26,17,34
Casper Staring,23.0,MF,NAC Breda,nl NED,15.0,628.0,0,0,25,1,0,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,9,2,14,10,9,13,20,12,0,2,3,7,86,86,0,96,100,82,0,0,0,0,0,0,88,100,0,0,6,1,BallWinner,BallWinner,,16,0,10,4,16,2,1,0,0,7
Daouda Weidmann,21.0,MF,RKC Waalwijk,ci CIV,12.0,788.0,0,0,60,8,12,10,4,5,0,35,7,9,5,8,19,14,11,2,25,0,33,0,0,18,5,18,23,11,2,6,0,11,4,100,72,22,82,77,94,0,0,1,5,4,7,62,0,7,7,54,1,DLP,DLP,,23,0,13,23,10,8,8,8,2,20
Dirk Proper,22.0,MF,NEC Nijmegen,nl NED,26.0,2159.0,0,1,85,42,21,75,17,64,6,29,2,43,9,54,33,7,19,4,0,7,11,36,38,41,40,47,38,34,40,38,38,31,22,38,46,46,79,73,47,0,9,9,19,11,19,62,100,66,66,88,2,DLP,DLP,,52,0,41,52,40,32,23,22,8,47
Edouard Michut,21.0,MF,Fortuna Sittard,fr FRA,18.0,1028.0,1,0,92,3,0,7,6,4,0,12,9,10,0,14,14,7,11,10,17,13,22,22,27,30,26,24,26,21,28,31,27,8,7,76,61,52,79,71,65,4,0,11,2,10,14,38,0,17,17,36,1,BallWinner,BallWinner,,30,0,24,19,30,10,3,8,10,22
Enric Llansana,23.0,MF,Go Ahead Eag,nl NED,33.0,2719.0,4,3,57,92,32,100,67,100,29,82,12,88,5,82,75,28,34,16,8,40,0,98,100,80,99,100,100,100,94,38,100,74,100,0,0,70,51,60,6,17,27,13,55,15,47,50,0,91,91,86,2,Anchor/BallWinner,Anchor,BallWinner,90,88,90,86,88,69,54,43,24,90
Espen van Ee,21.0,MF,Heerenveen,nl NED,32.0,2236.0,1,2,76,37,23,64,23,56,18,41,8,43,0,65,53,20,45,2,0,47,22,59,56,59,63,76,62,50,60,69,56,65,21,56,33,54,48,50,41,4,18,9,18,21,40,38,100,70,70,62,2,Anchor,Anchor,,65,0,65,49,57,46,24,27,18,62
Ezequiel Bullaude,23.0,MF,Fortuna Sittard,ar ARG,28.0,2058.0,6,1,12,6,18,13,8,19,6,12,5,24,0,21,17,11,19,6,0,40,33,21,22,25,24,27,33,20,18,62,22,46,30,25,33,54,19,44,21,25,9,40,27,32,42,75,100,62,62,70,1,ShadowStriker,ShadowStriker,,36,0,27,10,23,23,20,12,36,31
