Player,Age,Pos,Squad,Nation,std_MP,std_Min,pass_Cmp%,pass_PrgDist,pass_KP,pass_1/3,pass_PPA,pass_PrgP,passt_TB,passt_Sw,passt_Crs,gca_PassLive,gca_PassDead,poss_Carries,poss_PrgDist,poss_PrgC,poss_1/3,poss_CPA,gca_TO,gca_Sh,gca_Fld,def_Tkl,def_TklW,def_Int,def_Tkl+Int,def_Blocks,def_Pass,def_Def 3rd,def_Mid 3rd,def_Att 3rd,misc_TklW,misc_Recov,misc_Won,misc_Lost,misc_Fls,misc_Fld,poss_Mis,poss_Dis,def_Lost,std_Gls,std_Ast,std_xG,std_xAG,std_PrgR,shoot_Sh,std_CrdY,std_CrdR,std_90s,pt_Min%,pt_Mn/MP,Cluster,Archetype,Archetype_Score,Anchor_Score,DLP_Score,BallWinner_Score,BoxToBox_Score,APM_Score,CAM_Score,BoxCrasher_Score,Primary_Archetype,Secondary_Archetype,Overall_Rating
Alonzo Engwanda,21.0,MF,Utrecht,be BEL,21.0,1270.0,77,15,2,16,8,19,0,0,7,12,5,16,13,4,10,0,0,7,0,33,39,59,43,24,31,37,36,19,39,14,13,32,5,11,12,10,21,0,0,0,5,4,5,12,0,28,28,42,1,Anchor,62,62,37,55,27,12,12,11,Anchor,,24.7
Amine Lachkar,21.0,MF,Willem II,nl NED,23.0,1741.0,92,41,11,59,6,42,0,35,1,24,5,47,52,15,20,4,0,13,11,45,42,41,46,80,46,43,54,19,42,39,31,27,30,24,22,29,32,0,0,5,3,3,13,62,0,48,48,74,2,Anchor/DLP,78,78,78,68,49,22,24,25,Anchor,DLP,46.3
Anouar El Azzouzi,23.0,MF,Zwolle,nl NED,33.0,2876.0,87,100,36,94,38,88,0,82,18,68,5,100,86,25,31,4,8,7,0,80,73,91,89,56,41,70,86,50,73,100,71,92,79,69,75,65,79,4,0,21,16,26,41,87,0,98,97,96,2,BallWinner/DLP,97,86,96,97,81,58,40,55,BallWinner,DLP,91.5
Antoni Milambo,19.0,MF,Feyenoord,nl NED,29.0,1978.0,74,19,46,35,40,43,6,24,2,51,9,32,43,33,52,6,33,7,33,27,31,14,24,49,54,18,38,44,31,31,8,25,23,50,48,54,26,13,45,13,27,35,38,25,0,59,58,58,1,APM/BoxToBox,69,54,52,45,65,69,63,54,APM,BoxToBox,50.6
Casper Staring,23.0,MF,NAC Breda,nl NED,15.0,628.0,25,1,0,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,9,2,14,10,9,13,20,12,0,2,3,7,14,14,0,4,0,18,0,0,0,0,0,0,12,0,0,0,6,1,Anchor,26,26,11,11,6,4,10,7,Anchor,,0.0
Daouda Weidmann,21.0,MF,RKC Waalwijk,ci CIV,12.0,788.0,60,8,12,10,4,5,0,35,7,9,5,8,19,14,11,2,25,0,33,0,0,18,5,18,23,11,2,6,0,11,4,0,28,22,18,23,6,0,0,1,5,4,7,38,100,7,7,54,1,DLP/CAM,27,17,27,17,13,11,23,14,DLP,CAM,10.4
Dirk Proper,22.0,MF,NEC Nijmegen,nl NED,26.0,2159.0,85,42,21,75,17,64,6,29,2,43,9,54,33,7,19,4,0,7,11,36,38,41,40,47,38,34,40,38,38,31,22,62,54,46,21,27,53,0,9,9,19,11,19,38,0,66,66,88,2,DLP,82,66,82,69,47,46,31,31,DLP,,49.5
Edouard Michut,21.0,MF,Fortuna Sittard,fr FRA,18.0,1028.0,92,3,0,7,6,4,0,12,9,10,0,14,14,7,11,10,17,13,22,22,27,30,26,24,26,21,28,31,27,8,7,24,39,52,21,29,35,4,0,11,2,10,14,62,100,17,17,36,1,BallWinner/Anchor,51,48,33,51,28,7,28,41,BallWinner,Anchor,19.7
Enric Llansana,23.0,MF,Go Ahead Eag,nl NED,33.0,2719.0,57,92,32,100,67,100,29,82,12,88,5,82,75,28,34,16,8,40,0,98,100,80,99,100,100,100,94,38,100,74,100,100,100,70,49,40,94,17,27,13,55,15,47,50,100,91,91,86,2,BallWinner/Anchor,97,92,87,97,75,80,67,69,BallWinner,Anchor,100.0
Espen van Ee,21.0,MF,Heerenveen,nl NED,32.0,2236.0,76,37,23,64,23,56,18,41,8,43,0,65,53,20,45,2,0,47,22,59,56,59,63,76,62,50,60,69,56,65,21,44,67,54,52,50,59,4,18,9,18,21,40,62,0,70,70,62,2,BallWinner,88,80,77,88,74,48,45,48,BallWinner,,63.1
